year,Africa,Asia,Europe,North_America,South_America,Ocieana,World
1957,141593100,843316500,3593321500,3103150300,192903300,87260540,8185614000
1958,148670910,1137698600,3631810600,3022597000,178736500,89274136,8417160000
1959,147841220,1373387100,3713288400,3114762000,196974220,94416940,8854662000
1960,156567170,1538169200,3964574500,3188963000,199140540,100298744,9386421000
1961,161994320,1393016700,4109427000,3184178700,201756400,100182616,9414383000
1962,166334880,1342041900,4336451600,3309201700,215629970,103294030,9746556000
1963,176334850,1422549800,4609470500,3442070500,219379200,109549700,10266046000
1964,193639330,1506792300,4839294000,3620783400,230147580,118717740,10823619000
1965,213634380,1649219000,4981611000,3771195000,240092670,129477440,11309690000
1966,221082080,1796366200,5153137700,3955965200,251989390,132279140,11861708000
1967,237045170,1824324200,5267011600,4126583300,267328100,138611220,12236328000
1968,257384030,2015173600,5512483000,4288999000,287605000,145432300,12904336000
1969,277916000,2288600000,5812589600,4501258000,311235260,153718830,13760840000
1970,302623900,2695769600,6094492700,4861966300,337826140,166214060,14898157000
1971,331861400,2950089000,6323188000,4915418000,346539170,170642140,15502787000
1972,351871100,3120029000,6552128500,5161172500,362556700,174019410,16223440000
1973,378003360,3351352300,6844701700,5396047000,392667400,193619740,17083500000
1974,388389600,3410965200,6862857000,5250139600,416530270,190731230,17009382000
1975,387265120,3576356000,6902365700,5126900700,411657630,196819650,17049979000
1976,420141100,3801276000,7277034000,5433470000,419328960,194205660,17985243000
1977,433115100,4045921000,7333232600,5589918000,434808350,207571890,18494652000
1978,462487070,4227023400,7565711000,5676014600,462110140,213846820,19063955000
1979,499060700,4400641500,7745266700,5791393000,494336160,213960100,19603001000
1980,535678370,4395379700,7749258000,5620071400,508353860,227388100,19482442000
1981,548570700,4368962000,7467589600,5494361600,489719070,235791570,19016950000
1982,571727200,4518591000,7407606300,5262363600,490869630,241295580,18865373000
1983,594561000,4700642300,7414092000,5202117600,485836380,230603340,18985900000
1984,649325060,4974816000,7465076700,5459921000,491463070,241779620,19641730000
1985,665686400,5266013700,7789208600,5463513600,501802700,251881950,20305132000
1986,689698050,5492050000,7802156000,5448221700,529758620,252363400,20607515000
1987,689703300,5727687000,7825480700,5654275000,557251900,264348260,21245784000
1988,724696800,6189060000,7862962000,5903724000,580149570,271776800,22077385000
1989,697796860,6404369400,7828834300,6015881000,579468740,287940100,22378970000
